Sample;Month;Year;Season;Site;tide;Temp;Sal;ph;ORPmV;mS_cm;NTU;mg_L_OD;OD;g_l_TDS;ppt;oT;m;Mg24w;Al27w;K39w;Ca43w;Ca44w;V51w;Cr52w;Mn55w;Fe57w;Ni58w;Co59w;Cu65w;Zn66w;As75w;Se82w;Rb85w;Sr88w;Ag107w;Cd114w;Ba138w;Hg202w;Pb208w;U238w;MgCa;AlCa;KCa;CaCa;VCa;CrCa;MnCa;FeCa;NiCa;CoCa;CuCa;ZnCa;AsCa;SeCa;RbCa;SrCa;AgCa;CdCa;BaCa;HgCa;PbCa;UCa
A011;AUG;2022;Late dry;Caravelas;high;23.9;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30469.42394;21.99075079;869.1330589;1014.637929;1735.022997;0.077770387;0.167490696;0.441746285;8.88639314;0.194888883;0.024118038;0.086012587;0.385045225;0.012865535;0.175884174;0.116731972;34.63286624;0.002460817;0.002011362;0.309356325;0;0.105677143;0.014740245;30029849.13;21673.49569;856594.2923;1709992.251;76.6484129;165.0743498;435.373321;8758.191356;192.0772693;23.77009327;84.77170468;379.4902729;12.67992694;173.3467365;115.0479087;34133.22649;2.425315808;1.982344391;304.8933178;0;104.1525654;14.52759086
A012;AUG;2022;Late dry;Guarapari;low;23.6;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25516.58951;30.28952332;847.3240151;879.3982607;1520.518404;0.218886621;0.323514269;2.801599021;10.56993851;0.378398166;0.017208776;0.079334442;0.639467937;0.019674508;0.199367234;0.115218028;30.727817;0;0.002396978;0.284041773;0;0.109504096;0.023870187;29015965.41;34443.46512;963527.0536;1729044.134;248.9049971;367.881407;3185.813693;12019.51264;430.292148;19.56880874;90.21446295;727.1653417;22.37269348;226.7086973;131.0191678;34941.86692;0;2.725702754;322.9956043;0;124.5216195;27.14377356
A013;AUG;2022;Late dry;Guarapari;high;22;37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38653.67943;28.0000077;1036.097804;1258.287079;2155.397426;0.069840409;0.153394759;1.452495616;15.43460805;0.354808435;0.044251781;0.16385319;2.401710127;0.012663982;0.224921516;0.157875874;43.602588;0;0.012935614;0.354621548;0;0.229530613;0.02279475;30719285.04;22252.47972;823419.2509;1712961.582;55.50435185;121.907601;1154.343584;12266.36458;281.977333;35.16827127;130.2192423;1908.713971;10.06446132;178.7521462;125.4688831;34652.33708;0;10.28033587;281.8288087;0;182.4151396;18.11569912
A014;AUG;2022;Late dry;Piraque-acu;low;23.5;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33061.63001;15.85121784;403.631663;801.5412729;1363.004794;0.031558728;0.083211751;0.260491993;3.993557273;0.175761745;0.086649282;0.04277482;0.42656787;0.018884575;0.122496488;0.04379855;39.46596095;0;0.015414132;0.795630089;0;0.254127159;0;41247570.32;19775.92218;503569.4065;1700479.864;39.37255529;103.8146804;324.9888701;4982.347645;219.2797192;108.1033314;53.36571171;532.1845353;23.56032707;152.8261763;54.64291331;49237.59048;0;19.2306158;992.6252278;0;317.048127;0
A015;AUG;2022;Late dry;Piraque-acu;high;24.1;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28555.14922;12.02520832;367.7071291;718.4010462;1223.525924;0.026049748;0.069630241;0.208923823;3.391490268;0.148425371;0.060500021;0.061918255;0.481623419;0.014756936;0.116700051;0.041183029;34.46880024;0;0.014820113;0.693616354;0;0.249932949;0;39748201.05;16738.85135;511841.0268;1703123.806;36.2607323;96.92391372;290.8178157;4720.887151;206.6051712;84.21482811;86.18898169;670.410242;20.54136264;162.4441547;57.32595848;47979.88591;0;20.62930253;965.5001997;0;347.9017056;0
A016;SEP;2022;Late dry;Sao Mateus;low;21.78;11;8.48;-38;18.2;16.8;4.89;60.7;11.3;10.7;6.1;NA;17736.85972;8.018024457;299.3610972;384.0745027;631.7524735;0.010209939;0.070940995;0.697390795;2.334738379;0.166266502;0.015957124;0.053979251;0.374880196;0.007497852;0.098235544;0.039905604;29.20365461;0;0.004708529;1.734159346;0;0.144171654;0;46180778.98;20876.22167;779434.9666;1644869.6;26.58322398;184.7063375;1815.76957;6078.868455;432.9016906;41.54694929;140.543698;976.0611371;19.52186955;255.7721056;103.900685;76036.4315;0;12.25941668;4515.163943;0;375.3741862;0
A017;SEP;2022;Late dry;Sao Mateus;high;24.61;20;8.49;-26;15.7;24.5;28.17;361.8;10;9.3;4.3;NA;20898.77188;6.830564333;318.3107994;446.3499536;740.5646545;0.01595031;0.054672627;0.665255589;2.794600518;0.181367428;0.010856161;0.050016915;0.300359661;0.003523341;0.109712861;0.039764998;32.32113749;0;0.004216656;0.834970759;0;0.157533924;0;46821494.45;15303.15905;713141.7779;1659157.01;35.73498791;122.4882543;1490.434991;6261.007749;406.3345962;24.32208349;112.0576223;672.9241457;7.893673871;245.8000952;89.08928405;72412.10004;0;9.446972304;1870.663931;0;352.9381425;0
A018;OCT;2022;Early wet;Sao Mateus;low;27.64;21;8.21;140;49.8;48.3;0.59;9.2;30.3;32.6;20.8;NA;28605.49835;6.785606506;375.7278985;625.0192183;1042.935687;0.021176194;0.044363355;1.399783015;2.3718296;0.104407643;0.01124705;0.069768045;0.417677771;0.006122634;0.113484836;0.047245702;43.87859907;0;0.001327485;0.724926618;0;0.118121295;0;45767390.05;10856.63658;601146.1528;1668645.79;33.88086882;70.9791847;2239.583959;3794.810672;167.0470928;17.99472715;111.6254398;668.2638842;9.795912431;181.5701537;75.59079868;70203.5998;0;2.123910747;1159.846925;0;188.9882605;0
A019;OCT;2022;Early wet;Sao Mateus;high;28.34;NA;7.94;165;46.3;15.7;2.51;38.9;28.2;30.1;18.7;NA;23097.32693;5.720284274;328.2415407;506.7966841;843.0374688;0.0145839;0.044378566;1.595185565;2.289984838;0.10568322;0.007950937;0.073339355;0.339436556;0.003000571;0.073693445;0.041845888;35.73789682;0;0.002678907;0.674847965;0;0.083121904;0;45575134.28;11287.13832;647678.9431;1663462.874;28.7766287;87.56680328;3147.58485;4518.547397;208.5317913;15.68861375;144.711592;669.7686988;5.920660486;145.4102754;82.56937921;70517.22702;0;5.285959952;1331.595067;0;164.0143018;0
A020;OCT;2022;Early wet;Piraque-acu;gradient;22.97;37;8.18;161;38.8;0.4;7.09;95.3;37;NA;16.2;0.15;29697.34667;16.62870443;867.5903466;978.8051465;1676.693388;0.060309537;0.145579681;0.143732203;4.317807383;0.268577515;0.041238998;0.095615754;0.418602622;0.00705462;0.201154314;0.111217904;32.33765911;0.00042214;0.004978548;0.136873658;0;0.185949499;0.010942129;30340407.15;16988.77911;886376.9768;1713000.176;61.61546786;148.7320343;146.844552;4411.304332;274.3932394;42.13197863;97.68619862;427.6669603;7.207378995;205.5100693;113.6261946;33037.89239;0.43128106;5.08635206;139.8374927;0;189.9760128;11.17906758
A021;OCT;2022;Early wet;Piraque-acu;gradient;24.59;37;8.07;164;38.5;25.8;5.81;80.2;37;NA;15.6;0.35;30085.88866;8.875167542;826.2421997;753.3498552;1277.543883;0.054017537;0.130820542;0.123059174;4.279294954;0.194972295;0.028737331;0.048799946;0.253278144;0.005911601;0.217091347;0.117393688;35.48788834;0;0.001810041;0.136527029;0;0.107334676;0;39936144.48;11780.93748;1096757.627;1695817.52;71.70312248;173.6517783;163.3493037;5680.355448;258.8071045;38.14606333;64.77726835;336.202552;7.847085234;288.1680346;155.8289119;47106.78324;0;2.402656529;181.2265948;0;142.4765337;0
A022;OCT;2022;Early wet;Piraque-acu;gradient;25.75;26;7.45;151;31.5;13.8;3.41;46.7;26;NA;11.7;0.05;28274.00108;20.65403052;760.5504306;913.424723;1557.805336;0.055144569;0.170575523;1.533316027;5.010241592;0.363196694;0.073149535;0.057446436;0.605919069;0.005523394;0.157328286;0.097675043;30.80187084;0;0.014114783;0.48683665;0;0.345333929;0;30953838.19;22611.63946;832636.1346;1705455.629;60.3712241;186.7428362;1678.6452;5485.117127;397.6208271;80.08271857;62.89126476;663.3486632;6.046906388;172.2400131;106.9327777;33721.30189;0;15.45259559;532.9794978;0;378.0650116;0
A023;OCT;2022;Early wet;Piraque-acu;gradient;27.87;21;7.39;150;30.2;15;3.37;45.7;21.15;NA;11.2;1;27999.57633;14.95793221;846.9316994;932.5974482;1594.267025;0.070087215;0.194615425;1.159585381;8.255401355;0.292877599;0.032847574;0.075931941;0.586288467;0.007478441;0.18681754;0.113011808;32.23416519;0;0.00220357;0.199487911;0;0.133762392;0.010032844;30023217.82;16039.00186;908142.8446;1709491.086;75.15269866;208.6810607;1243.39326;8852.052266;314.0450359;35.22160006;81.41984681;628.6618825;8.01893805;200.3195917;121.1796235;34563.85737;0;2.362830566;213.9057013;0;143.4299361;10.75795817
A024;OCT;2022;Early wet;Piraque-acu;gradient;24.79;17.65;7.34;148;28.6;18.4;3.22;43;17.8;NA;10.5;1.1;25365.79079;26.45072679;672.8357547;770.9990342;1318.183855;0.049184826;0.339239602;1.935961769;6.073628926;0.51890592;0.168567101;0.376752294;0.974158241;0.007599153;0.166564205;0.087025226;25.88306002;0;0.031453766;0.906181793;0;0.575836313;0.000177719;32899899.57;34307.08161;872680.4119;1709708.827;63.79362846;440.0000351;2510.978202;7877.608994;673.0305704;218.6346467;488.6546894;1263.501247;9.856241706;216.0368523;112.8733271;33570.80732;0;40.79611595;1175.334537;0;746.8703427;0.230505359
A025;OCT;2022;Early wet;Piraque-acu;gradient;24.75;11.54;7.29;151;19.4;7.3;4.03;51.9;12;NA;5.9;0.9;26675.45047;24.61339241;464.4253748;757.3203358;1293.983122;0.03170561;0.182283346;3.102628526;11.77666234;0.285777647;0.015187498;0.100415332;0.610283233;0.006079633;0.117099056;0.061658349;29.48711047;0;0.003705683;2.117042138;0;0.076249251;0;35223470.45;32500.63579;613248.2555;1708633.799;41.86552011;240.6951686;4096.850935;15550.43722;377.3537215;20.05425833;132.5929423;805.8455638;8.027821582;154.6228864;81.41647106;38936.1134;0;4.893151305;2795.438123;0;100.6829568;0
A026;OCT;2022;Early wet;Piraque-acu;gradient;24.52;7.93;7.2;140;13.7;10.8;4.57;57.4;8.52;NA;3.3;0.65;20770.37547;17.19790236;295.4785647;515.9998087;873.18161;0.024347389;0.103032058;2.483614538;4.656435996;0.241858175;0.020270105;0.094808443;2.728580776;0.00313056;0.127285935;0.037202216;25.77818581;0;0.000259817;2.532648226;0;0.379972976;0;40252680.56;33329.28051;572633.0896;1692213.05;47.18488051;199.6746058;4813.208254;9024.104113;468.7175676;39.28316367;183.7373599;5287.949201;6.066979248;246.6782599;72.09734425;49957.74295;0;0.503522052;4908.234815;0;736.3820098;0
A027;OCT;2022;Early wet;Piraque-acu;gradient;24.22;3.83;7.23;122;6.98;95.2;4.37;53.2;4.39;NA;0.3;0.85;8630.825173;36.41692363;172.7269469;192.9118815;320.6869627;0.008439138;0.132970999;2.249576663;6.139035051;0.180069373;0.011717575;0.060519067;0.606741697;0.007723525;0.072166906;0.042039779;15.03212936;0;0.000743795;4.618516234;0;0.075391371;0;44739728.34;188774.9129;895367.0738;1662349.463;43.74607759;689.2836156;11661.1618;31823.00127;933.4281109;60.7405572;313.7135272;3145.175362;40.03654231;374.092592;217.9221861;77922.25778;0;3.855619903;23941.06676;0;390.807297;0
A028;OCT;2022;Early wet;Piraque-acu;gradient;23.48;1.06;6.83;106;2.07;107;8.09;95.8;1.33;NA;0;0.15;16329.00069;20.24052447;854.8158862;907.6403995;1570.90179;0.005244838;0.129921463;2.269840679;6.423317699;0.206736928;0.006562614;0.078991584;0.455588705;0.003018656;0.264942879;0.275493183;21.58377671;0.000807213;0.000421695;4.976926828;0;0.065244436;0.001313595;17990605.86;22300.15817;941800.1741;1730753.491;5.778541366;143.1420008;2500.814949;7076.941158;227.7740479;7.230411575;87.02960294;501.9484642;3.325828156;291.9029162;303.5267963;23780.09696;0.889353326;0.464606207;5483.368558;0;71.88357375;1.447264156
A029;OCT;2022;Early wet;Piraque-acu;gradient;25.54;0;7.7;131;36.6;13.4;7.92;110.3;0;NA;14.4;0.2;451.9217251;16.96949293;106.232265;35.35268795;59.85165315;0;0.075284878;1.597791129;4.462646838;0.150112361;0.015395073;0.037075907;0.528671761;0.002736574;0.09020461;0.06929179;1.254706202;0;0.001340266;5.245706027;0;0.046493179;0;12783235.2;480005.7339;3004927.522;1692987.34;0;2129.537606;45195.74666;126232.1791;4246.137126;435.4710727;1048.743638;14954.21683;77.4078139;2551.562973;1960.014768;35491.11184;0;37.91128589;148382.0985;0;1315.124306;0
A030;NOV;2022;Early wet;Sao Mateus;low;27.761;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16749.33606;78.35764083;298.0971194;383.4007481;640.4203359;0.024847398;0.066086687;4.00641205;7.432276053;0.238154061;0.010603581;0.11495424;0.505733965;0.005829378;0.074380339;0.053060499;26.46266519;0.000651354;0;4.839668054;0;0.065255379;0;43686237.29;204375.2945;777507.923;1670367.987;64.8079028;172.3697381;10449.67197;19385.13706;621.1622222;27.65665298;299.8278967;1319.074016;15.2043985;194.001548;138.3943547;69020.90129;1.698886456;0;12623.00107;0;170.201492;0
A031;NOV;2022;Early wet;Sao Mateus;gradient;28.04;1.07;7.57;128;2.1;35.2;5.07;65.2;1.35;NA;0;1.2;5120.617601;31.56565116;163.2940354;136.9791228;226.8532501;0.009467181;0.038735452;3.956354131;5.64045786;0.151232591;0.01216284;0.103721399;0.673180362;0.004882729;0.065523528;0.056976135;9.728066051;0;0.004129505;7.693050421;0;0.035532103;0;37382467.46;230441.3294;1192108.929;1656115.512;69.11404125;282.783619;28882.89872;41177.50022;1104.055772;88.79338227;757.2058955;4914.474181;35.64579077;478.3468207;415.9475858;71018.60379;0;30.1469688;56162.21117;0;259.3979487;0
A032;NOV;2022;Early wet;Sao Mateus;gradient;28.21;7.22;7.57;174;12.6;7.3;5.3;70.8;7.83;NA;1.8;0.7;25775.64206;27.43012085;322.6173369;598.9509278;1005.623532;0.015262054;0.078187997;2.478164122;5.398492664;0.196819383;0.010654771;0.075307934;0.429161723;0.003669082;0.094242396;0.054887096;34.94355082;0;0.001702112;1.241655167;0;0.117883377;0;43034647.51;45796.94191;538637.3439;1678974.829;25.4813102;130.5415746;4137.507777;9013.247018;328.6068582;17.78905458;125.7330617;716.5223439;6.125847939;157.3457719;91.63871961;58341.25835;0;2.841822003;2073.04991;0;196.8164192;0
A033;NOV;2022;Early wet;Sao Mateus;gradient;27.97;11.33;7.63;164;19.1;5.9;5.55;75.5;11.8;NA;4.9;0.75;25258.97866;11.71654992;431.7483953;691.5388153;1182.414619;0.022951193;0.044574073;1.947420686;3.098697611;0.171688589;0.033421739;0.080873962;0.432770092;0.002571536;0.08956971;0.063587654;30.88240141;0;0.005675995;0.707151448;0;0.164143619;0;36525756.91;16942.72204;624329.9518;1709831.167;33.18858289;64.45635751;2816.068517;4480.873008;248.2703572;48.32951974;116.947827;625.8073769;3.718571407;129.5223174;91.95095419;44657.50978;0;8.207775683;1022.576654;0;237.3599501;0
A034;NOV;2022;Early wet;Sao Mateus;gradient;27.94;16;7.67;147;21.9;5.8;5.76;79;13.5;13.12;6.2;0.5;27921.12825;16.77831121;480.9172891;799.2249544;1377.971542;0.025578122;0.083897628;1.481548039;4.98958862;0.289661436;0.020679127;0.101924929;0.431642764;0.0028641;0.116760684;0.069164877;33.17936955;0;0.002497941;0.552577445;0;0.120490068;0;34935255.83;20993.2274;601729.5712;1724134.781;32.00365822;104.9737348;1853.730957;6243.03407;362.4279172;25.87397541;127.5297132;540.0766847;3.583597342;146.0923906;86.53993678;41514.43141;0;3.125454168;691.3916313;0;150.7586406;0
A035;NOV;2022;Early wet;Sao Mateus;gradient;28.15;21;7.7;103;25.1;7.5;6.08;84.7;15.6;15.25;7.8;0.65;29916.73076;10.64859903;550.8821508;872.3328033;1501.012136;0.024187974;0.083425556;1.805903242;2.683807889;0.401712883;0.011359876;0.051087448;0.336875272;0.002297169;0.122297002;0.079762388;34.91409581;0;0.001205949;0.441236989;0;0.081882567;0;34295088.58;12207.03725;631504.5688;1720687.484;27.72791994;95.63500954;2070.199854;3076.587145;460.5041579;13.0224112;58.56417139;386.1774667;2.633362633;140.1953491;91.43573164;40023.82539;0;1.382441219;505.8126748;0;93.8662014;0
A036;NOV;2022;Early wet;Sao Mateus;gradient;27.59;35;7.66;93;34.2;21;6.72;96;20.8;21.43;12.5;0.6;29665.8946;9.138770438;923.482211;1019.166991;1743.266708;0.049978702;0.024332689;0.483941279;3.565028386;0.137637262;0.026013045;0.03780433;0.402757883;0.003429085;0.1578257;0.124428569;38.36799948;0;0.006200889;0.325508914;0;0.103415737;0.007281532;29107982.16;8966.90191;906114.7183;1710481.917;49.03877599;23.87507544;474.8400249;3497.982585;135.0487832;25.52383024;37.09336157;395.1834063;3.364595939;154.8575466;122.0884994;37646.43068;0;6.084271684;319.3872215;0;101.470846;7.144591748
A037;NOV;2022;Early wet;Sao Mateus;gradient;28.29;30;7.78;88;29.1;8.5;7.35;104.3;18;17.94;9.7;0.65;28434.70688;12.82797766;610.4659924;887.0055326;1524.318929;0.036944322;0.073805108;1.014128664;3.415541562;0.24527219;0.015083213;0.055749657;0.438111044;0.008837407;0.151999298;0.086426322;33.72045854;0;0.00233038;0.470546718;0;0.085931855;0.001742963;32056966.76;14462.11685;688232.4517;1718499.911;41.65061093;83.20704375;1143.31718;3850.642907;276.517092;17.00464362;62.85153218;493.921433;9.963192408;171.3622881;97.43605774;38016.06337;0;2.627244312;530.4890448;0;96.87860143;1.96499653
A038;NOV;2022;Early wet;Sao Mateus;gradient;27.75;26;7.79;101;32.1;12.1;6.78;96.3;19.6;19.98;11.4;0.65;30207.49788;12.38240977;607.493959;925.5688842;1605.954322;0.033530689;0.104691226;1.194812562;3.917499159;0.238231714;0.014573645;0.099061848;0.57228979;0.010446632;0.189085092;0.081179554;34.97327245;0;0.001881486;0.447586793;0;0.112585979;0;32636682.58;13378.16124;656346.5663;1735099.731;36.22711298;113.1101396;1290.895342;4232.531177;257.3895021;15.74560772;107.0280668;618.3113973;11.28671477;204.2906748;87.7077393;37785.70461;0;2.032788904;483.5802069;0;121.6397623;0
A039;NOV;2022;Early wet;Sao Mateus;gradient;28.45;0.5;7.41;153;1.04;12.6;4.04;52.2;0.66;0.51;0;0.6;2533.02257;11.72996186;138.5767874;75.86043002;124.7305486;0.005795315;0.061460897;4.76541441;9.939597607;0.159899;0.022831076;0.168483695;0.93084921;0.003443896;0.085655317;0.065699399;4.989382132;0;0.002015008;2.289245901;0;0.070699382;0;33390564.34;154625.5651;1826733.481;1644210.935;76.394439;810.1838733;62818.18345;131024.7991;2107.805086;300.9615906;2220.969413;12270.55014;45.39778769;1129.117211;866.0562441;65770.54903;0;26.56204564;30177.07519;0;931.966533;0
A040;OCT;2022;Early wet;Piraque-acu;gradient;25.22;32;7.7;160;35.6;20.5;4.02;50;32;NA;14.7;0.1;31272.27919;10.50811104;788.6603558;941.0214523;1601.891308;0.042683824;0.110977489;1.117810253;5.797660436;0.277511954;0.053228454;0.049207759;0.462344706;0.008279161;0.177993981;0.108727492;33.71713385;0;0.013050172;0.154903452;0;0.161178539;0;33232270.23;11166.70722;838089.6672;1702289.894;45.35903398;117.9330067;1187.869044;6161.028978;294.9050243;56.56454913;52.29185638;491.3221744;8.798057936;189.1497591;115.5419904;35830.35622;0;13.86809158;164.6120306;0;171.2804089;0
A041;JUN;2022;Early dry;Gramute;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31116.83406;7.15723486;913.3543774;1065.489024;1827.162112;0.046767557;0.084321262;0.164228438;3.474569077;0.249086655;0.020828875;0.043969447;0.49331715;0.004561366;0.185079857;0.117574246;35.95229088;0;0.005004644;0.125875831;0;0.388826336;0.005893091;29204274.63;6717.323877;857216.13;1714857.752;43.89304416;79.13855504;154.1343313;3261.008795;233.7768377;19.54865287;41.26691706;462.9959948;4.281007154;173.7041423;110.3476841;33742.52581;0;4.697039462;118.1390215;0;364.9275848;5.530879552
A042;DEC;2022;Early wet;Sao Mateus;low;24.59;0;7.38;59;6.52;126;2.3;28.2;4.11;3.56;0;NA;1119.333333;11.25555556;59.56410256;40.09302326;61.52272727;0.004613284;0.081389797;2.613578695;9.080701754;0.134290036;0.002830881;0.022149211;0.317539741;0.018994914;0.016219512;0.012117647;2.545454545;0.001510022;0.001151267;2.577179662;0;0.011010055;0;27918406.81;280736.0144;1485647.57;1534499.578;115.06452;2030.023927;65187.86769;226490.821;3349.461461;70.60781203;552.4455176;7920.074742;473.7710541;404.5469979;302.2382967;63488.71546;37.66295884;28.71489394;64280.00317;0;274.6127482;0
A043;JAN;2023;Late wet;Sao Mateus;low;28.88;6;7.07;171;12.9;544;9.26;125.2;8;NA;7.42;0.1;3603.583333;4.162962963;208.1794872;153.627907;234.3863636;0.006161211;0.027214658;2.099887038;4.633333333;0.081282319;0.004017045;0.017734671;0.217188805;0.024238864;0.012195122;0.027882353;11.93181818;0.001246852;0.000940471;2.399952599;0;0.020241515;0;23456567.26;27097.70018;1355089.002;1525675.694;40.10476326;177.1465812;13668.65617;30159.451;529.0856348;26.14788301;115.4391272;1413.732763;157.7764357;79.3809028;181.4927606;77666.99694;8.116050279;6.12174269;15621.85312;0;131.7567576;0
A044;FEB;2023;Late wet;Sao Mateus;gradient;27.7;0;6.19;251;0.13;106;5.09;64.8;0.08;0.06;0;0.25;121;4.455555556;56.48717949;13.53488372;17.84090909;0;0.078187455;0.805157238;2.685964912;0.133374899;0.001591085;0.012474579;0.225723848;0.003022669;0.007439024;0.024;0.426136364;0.002095559;0.000976323;2.738507836;0;0.051979707;0;8939862.543;329190.5307;4173451.405;1318142.768;0;5776.736391;59487.56229;198447.5794;9854.159172;117.5544026;921.6613489;16677.19151;223.3243638;549.6186405;1773.195876;31484.30178;154.8264978;72.13381744;202329.6168;0;3840.425091;0
A045;FEB;2023;Late wet;Sao Mateus;gradient;28.42;15;8.37;103;19.2;96.6;8.49;116.4;11.9;11.39;4.8;0.1;14780.91667;9.351851852;346.1025641;397.0232558;615.7045455;0.004808278;0.023288002;0.332593489;12.69649123;0.110646564;0.007874152;0.024344691;0.172858277;0.013733161;0.065487805;0.046;29.48863636;0.001666896;0.001472248;3.612980694;0;0.020335489;0;37229347.27;23554.92207;871743.806;1550802.217;12.11082327;58.65651803;837.7179031;31979.21291;278.6903856;19.83297298;61.3180476;435.3857726;34.59031827;164.9470249;115.8622306;74274.33011;4.198485261;3.708216277;9100.173961;0;51.21989372;0
A046;FEB;2023;Late wet;Sao Mateus;gradient;29.18;10;8.48;146;12.3;114;7.76;105.1;7.63;7.01;1.3;0;7249.375;4.959259259;202.4358974;166.6976744;252.9318182;0;0.023831418;0.35242133;4.356140351;0.087388086;0.002821199;0.027514314;0.845817391;0.038178275;0;0.026823529;12.78409091;0.001868976;0.001172111;4.238002436;0;0.012085409;0;43488159.18;29750.02067;1214389.452;1517308.619;0;142.9619127;2114.13465;26131.98034;524.2309847;16.92404682;165.0551751;5073.960351;229.0270432;0;160.9112395;76690.2775;11.21177157;7.031358068;25423.2847;0;72.49896631;0
A047;FEB;2023;Late wet;Sao Mateus;gradient;29.26;4;8.27;147;5.89;115;7.55;100.4;3.71;3.18;0;0.05;5838.125;13.32962963;170.1538462;103.9767442;160.1818182;0.003352183;0.070968733;0.737241485;4.494736842;0.173946323;0.002830652;0.067911363;0.828278036;0.048403598;0;0.028941176;8.011363636;0.002101319;0.001978152;5.743177744;0;0.094630699;0;56148372.85;128198.1825;1636460.609;1540554.279;32.23973344;682.5442908;7090.445951;43228.28992;1672.934885;27.22389149;653.1399222;7965.993191;465.5233042;0;278.3427842;77049.57199;20.20951153;19.02494676;55235.21426;0;910.1140771;0
A048;FEB;2023;Late wet;Sao Mateus;gradient;27.04;35;8.9;148;46.6;41.2;8.54;127.2;28.4;30.27;19.3;0;21739.375;4.981481481;514.5641026;451.627907;719.1136364;0.019142666;0.050753371;0.183454753;12.58245614;0.164297857;0.009226182;0.033511608;0.338827082;0.027322673;0.063292683;0.061647059;17.5;0.006333806;0.002343976;0.961038888;0;0.053548994;0;48135588.31;11030.05683;1139354.089;1592270.153;42.38592335;112.3787302;406.2077445;27860.22729;363.7903126;20.42872455;74.20180938;750.2350415;60.49819468;140.1434277;136.4996668;38748.71267;14.0243905;5.190060951;2127.943984;0;118.5688323;0
A049;FEB;2023;Late wet;Sao Mateus;gradient;26.8;32;8.57;158;44.2;70.1;7.29;116.5;27;28.55;18.1;0;20890.54167;12.01481481;456.8717949;404.6744186;633.6818182;0.027542784;0.017980368;0.33097474;11.35614035;0.10574966;0.007992173;0.057303313;0.515026353;0.026877973;0.049756098;0.055176471;16.92045455;0.011430689;0.002539542;0.372545179;0;0.051548441;0;51623084.4;29690.07741;1128986.103;1565905.303;68.06158934;44.43168975;817.8790762;28062.41222;261.320349;19.74963854;141.6034985;1272.693132;66.41875951;122.9534047;136.3478096;41812.51339;28.24663162;6.275519012;920.6047168;0;127.3825053;0
A050;FEB;2023;Late wet;Sao Mateus;gradient;28.33;22;8.84;63;33.4;33.5;8.29;119.8;20.4;20.94;11.9;0.1;15966.29167;14.03333333;224.2564103;258.9767442;405.0909091;0.017358076;0.042577968;0.366303867;7.552631579;0.148734979;0.003777869;0.035837332;0.345027812;0.023195243;0.018780488;0.022941176;12.97727273;0.00398522;0.001551247;0.670672632;0;0.032453778;0;61651449.5;54187.61973;865932.6186;1564198.015;67.02561624;164.408462;1414.427648;29163.35829;574.3178973;14.58767653;138.3805009;1332.273339;89.56496446;72.51804738;88.58392495;50109.7995;15.3883316;5.989907283;2589.702152;0;125.3154147;0
A051;FEB;2023;Late wet;Esquecidos;low;NA;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26638.875;2.092592593;595.1538462;524.4651163;828.2272727;0.023592725;0.007191571;0.088072111;13.33157895;0.103972245;0.007919989;0.013720016;0.27212034;0.019870658;0.085121951;0.071882353;20.95454545;0.002625152;0.001638574;0.357942072;0;0.011466389;0;50792462.97;3989.955724;1134782.52;1579184.672;44.98435546;13.7122003;167.927491;25419.38164;198.2443489;15.10107832;26.16001677;518.853078;37.88747285;162.3024079;137.0584062;39954.12622;5.00538949;3.12427643;682.4897621;0;21.86301609;0
A052;FEB;2023;Late wet;Tres Ilhas;NA;19.41;35;8.92;90;51.7;1;12.76;169.5;31;33.86;24.1;8.5;22697.66667;3.681481481;646.7948718;545.1860465;863.2954545;0.011541901;0;0.049137691;14.91754386;0.082018124;0.008310575;0.015772908;0.289096088;0.016461179;0.067804878;0.08;22.13636364;0.002070469;0.000714276;0.555985264;0;0.008888962;0;41632882.59;6752.706723;1186374.589;1583487.802;21.17057317;0;90.13013351;27362.29945;150.4406151;15.24355778;28.93123855;530.2705186;30.19369095;124.3701641;146.7388986;40603.32024;3.797730026;1.310150068;1019.808316;0;16.30445648;0
A053;FEB;2023;Late wet;Sao Mateus;low;31.39;15;8.66;98;34.3;133;6.99;107.3;20.9;21.5;11.4;NA;5568.458333;3.17037037;447.5384615;462.3953488;712.1136364;0.00457913;0;2.403596481;14.1122807;0.054550366;0.006407586;0.018843088;0.046273099;0.021376792;0.015121951;0.056352941;36.97727273;0.001401006;0.000792367;1.618148082;0;0.012996441;0;12042634.83;6856.406273;967869.7302;1540053.632;9.90306291;0;5198.141563;30519.94519;117.9734316;13.85737579;40.75103235;100.0725884;46.23055073;32.70351066;121.8717734;79968.95475;3.02988813;1.713613918;3499.490395;0;28.10677251;0
