Sample;Month;Year;Season;Site;tide;Temp;Sal;ph;ORPmV;mS_cm;NTU;mg_L_OD;OD;g_l_TDS;ppt;oT;m;Mg24w;Al27w;K39w;Ca43w;Ca44w;V51w;Cr52w;Mn55w;Fe57w;Ni58w;Co59w;Cu65w;Zn66w;As75w;Se82w;Rb85w;Sr88w;Ag107w;Cd114w;Ba138w;Hg202w;Pb208w;U238w;MgCa;AlCa;KCa;CaCa;VCa;CrCa;MnCa;FeCa;NiCa;CoCa;CuCa;ZnCa;AsCa;SeCa;RbCa;SrCa;AgCa;CdCa;BaCa;HgCa;PbCa;UCa
A069;MAY;2023;Early dry;Sao Mateus;low;24.36;24;7.98;21;32.2;24.3;9.5;129.8;19.7;20.1;12.4;NA;23115.45833;4.440740741;313.7179487;408.3488372;639.6136364;0.012067507;0.059325345;1.115049455;10.73684211;0.124810056;0.005620494;0.043909537;0.25214236;0.013701841;0.029878049;0.033058824;20.98863636;0.003066518;0.000800698;0.70239931;0;0.019559687;0;56607136.42;10874.87054;768259.6842;1566341.27;29.55195745;145.281044;2730.62968;26293.30887;305.6456762;13.76395244;107.5294777;617.4680502;33.55425433;73.16795362;80.95731031;51398.79057;7.509554468;1.960818079;1720.096267;0;47.89945614;0
A070;MAY;2023;Early dry;Itapemirim;gradient;25.08;16;8.63;24;44.6;3.4;7.93;115.6;27.2;28.8;18.8;NA;25906.66667;2.796296296;422.8461538;566.0465116;888.7272727;0.011043969;0.042493984;0.14261822;12.57368421;0.123024589;0.007235872;0.037211111;0.2630622;0.012400652;0.048170732;0.046;28.69318182;0.002042432;0.001596253;0.830283329;0;0.031516541;0;45767734.87;4940.046867;747016.6235;1570060.506;19.51071019;75.07154178;251.9549483;22213.16438;217.3400704;12.78317549;65.73861088;464.7360142;21.90747836;85.10030663;81.26540674;50690.50198;3.608241342;2.820003025;1466.811139;0;55.67835873;0
A071;MAY;2023;Early dry;Itapemirim;gradient;25.2;28;8.17;93;47;1;7.1;104.9;28.7;30.6;20.1;NA;26341.66667;16.6037037;408.3076923;633.5813953;1001.840909;0.014510775;0.036343945;0.084821209;21.14912281;0.13132128;0.005575543;0.065337552;0.397773537;0.0172083;0.032195122;0.046588235;18.94318182;0.001376041;0.002143826;0.397161259;0;0.050772244;0;41575820.98;26206.10994;644443.9425;1581234.734;22.90277882;57.36270939;133.8757895;33380.27752;207.2682074;8.800041482;103.1241645;627.8175784;27.16036209;50.81450022;73.5315709;29898.5765;2.171845682;3.383663348;626.851202;0;80.1353134;0
A072;MAY;2023;Early dry;Itapemirim;gradient;25.05;31;8.24;99;48.1;0.2;7;103.8;29.4;31.4;20.7;NA;107199.8333;397.1111111;3188.769231;2509.976744;3991.931818;0.012086643;0.033555071;0.061840396;859.754386;0.119225525;0.006359118;0.026667305;0.169493901;0.011175679;0.059878049;0.442352941;100.4431818;0.001353132;0.00102365;0.562444937;0;0.017878192;0;42709492.66;158213.0639;1270437.759;1590425.819;4.815440354;13.36867822;24.63783633;342534.8016;47.50064915;2.533536559;10.62452272;67.5280764;4.452503139;23.85601736;176.2378644;40017.57469;0.539101392;0.40783258;224.0837246;0;7.122851807;0
A073;MAY;2023;Early dry;Itapemirim;gradient;25.12;35;7.99;125;47.4;0;6.51;96.3;28.9;30.9;20.3;NA;28826.29167;4.492592593;488.2051282;535.9069767;854.4772727;0.016029706;0.042527396;0.0747499;12.3245614;0.120284982;0.007121155;0.018552904;0.297017479;0.013827682;0.068292683;0.056470588;21.79545455;0.001710794;0.001562896;1.400236237;0;0.061839634;0;53789730.15;8383.157502;910988.5659;1594450.735;29.91135843;79.3559283;139.4829761;22997.57596;224.4512334;13.28804369;34.61963429;554.2332748;25.80239158;127.4338381;105.3738628;40670.21982;3.192334083;2.916356662;2612.834499;0;115.3924772;0
A074;MAY;2023;Early dry;Itapemirim;gradient;24.81;21;8.45;101;48.6;0.5;6.26;92.6;29.6;31.7;21;NA;24456.5;7.085185185;394.1538462;503.3488372;801.7272727;0.011654541;0.047458924;0.156079942;15.7;0.109380639;0.006598563;0.162107293;0.210502366;0.010355929;0.019390244;0.043411765;21.43181818;0.005639139;0.000906912;0.502162287;0;0.013633726;0;48587576.23;14076.09328;783062.9913;1592786.58;23.15400437;94.2863487;310.0830479;31191.09222;217.3058335;13.10932326;322.0575486;418.2037387;20.57405898;38.5224768;86.24588257;42578.4597;11.20324324;1.801756641;997.6426882;0;27.08603835;0
A075;MAY;2023;Early dry;Itapemirim;gradient;24.62;5;7.86;102;13;21.9;6.45;83.4;7.55;7.2;2.7;NA;4677.083333;6.007407407;167.6666667;129.2325581;194.7954545;0.00519267;0.067387142;0.317708366;3.796491228;0.085826386;0.003671275;0.005849374;0.03969974;0.01073341;0.01195122;0.016;9.272727273;0.002825049;0.000847477;1.444455533;0;0.004708673;0;36191215.28;46485.24717;1297402.675;1507324.914;40.18081744;521.4409039;2458.423564;29377.20403;664.123559;28.4082838;45.2623827;307.1961139;83.05500225;92.47839464;123.80781;71752.2535;21.8601925;6.557767323;11177.17976;0;36.43565676;0
A076;MAY;2023;Early dry;Itapemirim;gradient;24.52;0;7.77;106;10.6;20.7;6.66;84.1;6.57;6;1.8;NA;1887.5;6.562962963;93.51282051;68.34883721;101.3181818;0.003167072;0.068819168;0.269509905;2.21754386;0.084103498;0.002817667;0.037314341;0.077570187;0.00947538;0;0.009176471;4.363636364;0.001629814;0.000937408;1.889379374;0;0.022256251;0;27615685.61;96021.57448;1368169.882;1482368.771;46.33687801;1006.881323;3943.152738;32444.50016;1230.503717;41.22479715;545.9396549;1134.915967;138.6326421;0;134.2593519;63843.60791;23.84553044;13.71506076;27643.1824;0;325.627357;0
A077;MAY;2023;Early dry;Itapemirim;gradient;24.42;0;7.34;145;0.94;29.1;7.06;86.5;0.57;0.4;0;NA;189.0833333;9.47037037;27.84615385;15.69767442;24.77272727;0.004889846;0.168215311;0.312594001;2.559649123;0.299665005;0.003529255;0.013569421;0.058463397;0.010198007;0;0;0.471590909;0.001781253;0.000795759;1.516184787;0;0.008444296;0;12045308.64;603297.668;1773903.134;1578114.478;311.5012849;10715.93834;19913.39562;163059.1293;19089.77069;224.8266442;864.4223438;3724.334891;649.6507974;0;0;30042.08754;113.4724405;50.692795;96586.58642;0;537.9329181;0
A078;MAY;2023;Early dry;Itapemirim;gradient;24.85;10;8.25;63;28.8;12.65;7.19;99.5;17.38;18;10.75;NA;9394.833333;7.444444444;331.3076923;310.1395349;474.0681818;0.006854486;0.064678167;0.163345846;6.775438596;0.100461205;0.005722301;0.025689318;0.124013949;0.012711063;0.007682927;0.037411765;23.42045455;0.001357127;0.00107787;1.52380491;0;0.028584124;0;30292279.04;24003.53263;1068253.657;1528564.174;22.10129657;208.5453791;526.6850175;21846.42019;323.9226002;18.45073191;82.83148395;399.8650119;40.98498046;24.77248453;120.6288154;75515.86274;4.3758594;3.475435521;4913.288178;0;92.16536652;0
A079;FEB;2023;Late wet;Regencia;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;330;6.214814815;32.53846154;15.51162791;23.77272727;0.000263808;0.135865103;0.377899331;1.464912281;0.166753354;0.003084368;0.038003393;0.195671219;0.005065377;0;0.004823529;0.592045455;0.001319831;0.00087167;1.766997956;0;0.028380556;0;21274362.82;400655.2279;2097681.928;1532574.622;17.00711638;8758.919707;24362.32568;94439.62229;10750.2162;198.8423382;2449.993865;12614.48639;326.5535254;0;310.962166;38167.84789;85.08658782;56.19462429;113914.4109;0;1829.631077;0
A080;JUN;2023;Early dry;Sao Mateus;low;24.19;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24898.58333;7.948148148;484.5128205;581.3488372;893.3863636;0.014355918;0.070490464;1.298860521;13.68421053;0.123716223;0.008927181;0.029247782;0.199741232;0.013793941;0.040365854;0.058235294;43.75;0.00138254;0.000890745;1.005288258;0;0.018216688;0;42828989.65;13671.90857;833428.7256;1536747.485;24.69415379;121.2532989;2234.218833;23538.7252;212.8089277;15.3559792;50.31020928;343.5824063;23.72747704;69.43482308;100.1727197;75256.02048;2.378158749;1.532203482;1729.234143;0;31.33520943;0
